Time_Index,BuyPrice_1,BuyPrice_2,BuyPrice_3,SellPrice_1,SellPrice_2,SellPrice_3
1,0,60.96,0,0,57.91,0
2,0,58.74,0,0,55.8,0
3,0,56.77,0,0,53.93,0
4,0,56.49,0,0,53.67,0
5,0,58.45,0,0,55.53,0
6,0,61.02,0,0,57.97,0
7,0,61.04,0,0,57.99,0
8,0,61.04,0,0,57.99,0
9,0,40.99,0,0,38.94,0
10,0,38.57,0,0,36.64,0
11,0,38.56,0,0,36.63,0
12,0,38.39,0,0,36.47,0
13,0,38.38,0,0,36.46,0
14,0,38.38,0,0,36.46,0
15,0,38.38,0,0,36.46,0
16,0,41.66,0,0,39.58,0
17,0,78.34,0,0,74.42,0
18,0,82.07,0,0,77.97,0
19,0,82.98,0,0,78.83,0
20,0,82.98,0,0,78.83,0
21,0,82.07,0,0,77.97,0
22,0,82.07,0,0,77.97,0
23,0,81.12,0,0,77.06,0
24,0,74.41,0,0,70.69,0
25,0,67.22,0,0,63.86,0
26,0,61.85,0,0,58.76,0
27,0,57.25,0,0,54.39,0
28,0,54.98,0,0,52.23,0
29,0,55.34,0,0,52.57,0
30,0,64.6,0,0,61.37,0
31,0,71.67,0,0,68.09,0
32,0,71.72,0,0,68.13,0
33,0,51.97,0,0,49.37,0
34,0,38.38,0,0,36.46,0
35,0,33.95,0,0,32.25,0
36,0,33.95,0,0,32.25,0
37,0,33.4,0,0,31.73,0
38,0,32.74,0,0,31.1,0
39,0,33.95,0,0,32.25,0
40,0,33.95,0,0,32.25,0
41,0,65.26,0,0,62,0
42,0,73.81,0,0,70.12,0
43,0,76.49,0,0,72.67,0
44,0,74.26,0,0,70.55,0
45,0,73.8,0,0,70.11,0
46,0,73.76,0,0,70.07,0
47,0,70.86,0,0,67.32,0
48,0,63.39,0,0,60.22,0
49,0,64.5,0,0,61.28,0
50,0,61.59,0,0,58.51,0
51,0,60.85,0,0,57.81,0
52,0,61.33,0,0,58.26,0
53,0,68.56,0,0,65.13,0
54,0,78.1,0,0,74.2,0
55,0,78.13,0,0,74.22,0
56,0,77.9,0,0,74.01,0
57,0,59.69,0,0,56.71,0
58,0,51.15,0,0,48.59,0
59,0,50.73,0,0,48.19,0
60,0,51.14,0,0,48.58,0
61,0,51.14,0,0,48.58,0
62,0,51.14,0,0,48.58,0
63,0,51.14,0,0,48.58,0
64,0,56.05,0,0,53.25,0
65,0,77.43,0,0,73.56,0
66,0,82.14,0,0,78.03,0
67,0,89.97,0,0,85.47,0
68,0,83.2,0,0,79.04,0
69,0,82.14,0,0,78.03,0
70,0,82.14,0,0,78.03,0
71,0,81.34,0,0,77.27,0
72,0,75.16,0,0,71.4,0
73,0,68.89,0,0,65.45,0
74,0,64.17,0,0,60.96,0
75,0,60.72,0,0,57.68,0
76,0,60.72,0,0,57.68,0
77,0,60.72,0,0,57.68,0
78,0,71.66,0,0,68.08,0
79,0,78.27,0,0,74.36,0
80,0,77.67,0,0,73.79,0
81,0,65.53,0,0,62.25,0
82,0,57.3,0,0,54.44,0
83,0,57.04,0,0,54.19,0
84,0,57.04,0,0,54.19,0
85,0,57.04,0,0,54.19,0
86,0,57.04,0,0,54.19,0
87,0,57.04,0,0,54.19,0
88,0,57.05,0,0,54.2,0
89,0,72.7,0,0,69.07,0
90,0,79.2,0,0,75.24,0
91,0,79.89,0,0,75.9,0
92,0,79.4,0,0,75.43,0
93,0,79.2,0,0,75.24,0
94,0,79.2,0,0,75.24,0
95,0,78.83,0,0,74.89,0
96,0,73.83,0,0,70.14,0
97,0,69.13,0,0,65.67,0
98,0,66.09,0,0,62.79,0
99,0,59.39,0,0,56.42,0
100,0,58.85,0,0,55.91,0
101,0,59.93,0,0,56.93,0
102,0,66.8,0,0,63.46,0
103,0,74.78,0,0,71.04,0
104,0,70.94,0,0,67.39,0
105,0,62.56,0,0,59.43,0
106,0,57.7,0,0,54.82,0
107,0,57.39,0,0,54.52,0
108,0,57.55,0,0,54.67,0
109,0,57.37,0,0,54.5,0
110,0,57.37,0,0,54.5,0
111,0,57.38,0,0,54.51,0
112,0,60.44,0,0,57.42,0
113,0,72.72,0,0,69.08,0
114,0,75.39,0,0,71.62,0
115,0,75.38,0,0,71.61,0
116,0,75.38,0,0,71.61,0
117,0,75.38,0,0,71.61,0
118,0,75.37,0,0,71.6,0
119,0,75.16,0,0,71.4,0
120,0,70.97,0,0,67.42,0
