Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
AZ_batteries_1,0.0,0.0,50.0,6103.2,19778.48,0.0
AZ_biomass_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_conventional_hydroelectric_1,0.0,0.0,50.0,1620.6,0.0,0.0
AZ_conventional_steam_coal_1,0.0,0.0,50.0,1280.0,0.0,0.0
AZ_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,255.0,0.0,0.0
AZ_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,40.5,0.0,0.0
AZ_natural_gas_steam_turbine_1,0.0,0.0,50.0,667.0,0.0,0.0
AZ_nuclear_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_onshore_wind_turbine_1,0.0,0.0,50.0,267.3,0.0,0.0
AZ_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
AZ_run_of_river_hydroelectric_1,0.0,0.0,50.0,3.0,0.0,0.0
AZ_solar_photovoltaic_1,0.0,0.0,50.0,1239.3,0.0,0.0
CA_N_batteries_1,0.0,0.0,50.0,3373.3,11765.43,0.0
CA_N_biomass_1,0.0,0.0,50.0,296.6,0.0,0.0
CA_N_conventional_hydroelectric_1,0.0,0.0,50.0,519.7,0.0,0.0
CA_N_geothermal_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_N_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_N_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,408.3,0.0,0.0
CA_N_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,497.0,0.0,0.0
CA_N_nuclear_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_N_onshore_wind_turbine_1,0.0,0.0,50.0,1325.8,0.0,0.0
CA_N_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_N_run_of_river_hydroelectric_1,0.0,0.0,50.0,38.5,0.0,0.0
CA_N_solar_photovoltaic_1,0.0,0.0,50.0,1668.8,0.0,0.0
CA_S_batteries_1,0.0,0.0,50.0,10120.1,33154.37,0.0
CA_S_biomass_1,0.0,0.0,50.0,104.9,0.0,0.0
CA_S_conventional_hydroelectric_1,0.0,0.0,50.0,120.0,0.0,0.0
CA_S_geothermal_1,0.0,0.0,50.0,159.7,0.0,0.0
CA_S_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
CA_S_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,256.4,0.0,0.0
CA_S_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,1429.5,0.0,0.0
CA_S_natural_gas_steam_turbine_1,0.0,0.0,50.0,444.0,0.0,0.0
CA_S_onshore_wind_turbine_1,0.0,0.0,50.0,3306.3,0.0,0.0
CA_S_other_peaker_1,0.0,0.0,50.0,4.2,0.0,0.0
CA_S_run_of_river_hydroelectric_1,0.0,0.0,50.0,32.5,0.0,0.0
CA_S_solar_photovoltaic_1,0.0,0.0,50.0,3925.2,0.0,0.0
MT_WY_CO_batteries_1,0.0,0.0,50.0,109.2,395.7,0.0
MT_WY_CO_biomass_1,0.0,0.0,50.0,5.0,0.0,0.0
MT_WY_CO_conventional_hydroelectric_1,0.0,0.0,50.0,127.6,0.0,0.0
MT_WY_CO_conventional_steam_coal_1,0.0,0.0,50.0,1381.0,0.0,0.0
MT_WY_CO_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
MT_WY_CO_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,55.0,0.0,0.0
MT_WY_CO_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,25.0,0.0,0.0
MT_WY_CO_natural_gas_steam_turbine_1,0.0,0.0,50.0,1070.0,0.0,0.0
MT_WY_CO_onshore_wind_turbine_1,0.0,0.0,50.0,4845.7,0.0,0.0
MT_WY_CO_other_peaker_1,0.0,0.0,50.0,0.7,0.0,0.0
MT_WY_CO_run_of_river_hydroelectric_1,0.0,0.0,50.0,75.5,0.0,0.0
MT_WY_CO_solar_photovoltaic_1,0.0,0.0,50.0,179.9,0.0,0.0
NM_batteries_1,0.0,0.0,50.0,1042.5,3946.75,0.0
NM_biomass_1,0.0,0.0,50.0,1.1,0.0,0.0
NM_conventional_steam_coal_1,0.0,0.0,50.0,1540.0,0.0,0.0
NM_geothermal_1,0.0,0.0,50.0,1.6,0.0,0.0
NM_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,220.0,0.0,0.0
NM_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,0.0,0.0,0.0
NM_natural_gas_steam_turbine_1,0.0,0.0,50.0,229.0,0.0,0.0
NM_onshore_wind_turbine_1,0.0,0.0,50.0,342.8,0.0,0.0
NM_other_peaker_1,0.0,0.0,50.0,1.1,0.0,0.0
NM_run_of_river_hydroelectric_1,0.0,0.0,50.0,27.9,0.0,0.0
NM_solar_photovoltaic_1,0.0,0.0,50.0,269.2,0.0,0.0
PNW_batteries_1,0.0,0.0,50.0,1012.0,3498.9,0.0
PNW_biomass_1,0.0,0.0,50.0,15.3,0.0,0.0
PNW_conventional_hydroelectric_1,0.0,0.0,50.0,930.0,0.0,0.0
PNW_conventional_steam_coal_1,0.0,0.0,50.0,0.0,0.0,0.0
PNW_geothermal_1,0.0,0.0,50.0,29.5,0.0,0.0
PNW_hydroelectric_pumped_storage_1,0.0,0.0,50.0,0.0,0.0,0.0
PNW_natural_gas_fired_combined_cycle_1,0.0,0.0,50.0,614.0,0.0,0.0
PNW_natural_gas_fired_combustion_turbine_1,0.0,0.0,50.0,499.0,0.0,0.0
PNW_nuclear_1,0.0,0.0,50.0,0.0,0.0,0.0
PNW_onshore_wind_turbine_1,0.0,0.0,50.0,7140.9,0.0,0.0
PNW_other_peaker_1,0.0,0.0,50.0,0.0,0.0,0.0
PNW_run_of_river_hydroelectric_1,0.0,0.0,50.0,1024.7,0.0,0.0
PNW_solar_photovoltaic_1,0.0,0.0,50.0,18.7,0.0,0.0
UT_NV_batteries_1,0.0,0.0,50.0,942.8,2649.1,0.0
