Time_Index,BuyPrice_1,BuyPrice_2,SellPrice_1,SellPrice_2
1,0,25.63,0,24.63
2,0,25.9,0,24.9
3,0,26.49,0,25.49
4,0,25.34,0,24.34
5,0,26.03,0,25.03
6,0,26.15,0,25.15
7,0,22.6,0,21.6
8,0,22.88,0,21.88
9,0,22.91,0,21.91
10,0,16.08,0,15.08
11,0,16.27,0,15.27
12,0,16.42,0,15.42
13,0,15.21,0,14.21
14,0,15.67,0,14.67
15,0,15.41,0,14.41
16,0,22.72,0,21.72
17,0,23.47,0,22.47
18,0,23.36,0,22.36
19,0,27.28,0,26.28
20,0,28.23,0,27.23
21,0,27.98,0,26.98
22,0,27.11,0,26.11
23,0,27.51,0,26.51
24,0,27.04,0,26.04
25,0,25.95,0,24.95
26,0,25.65,0,24.65
27,0,26.15,0,25.15
28,0,26.44,0,25.44
29,0,26.03,0,25.03
30,0,25.59,0,24.59
31,0,22.25,0,21.25
32,0,22.95,0,21.95
33,0,22.79,0,21.79
34,0,15.72,0,14.72
35,0,16.53,0,15.53
36,0,16.03,0,15.03
37,0,14.97,0,13.97
38,0,15.52,0,14.52
39,0,15.17,0,14.17
40,0,22.44,0,21.44
41,0,23.18,0,22.18
42,0,22.68,0,21.68
43,0,27.86,0,26.86
44,0,27.63,0,26.63
45,0,27.23,0,26.23
46,0,27.27,0,26.27
47,0,28.13,0,27.13
48,0,26.94,0,25.94
49,0,26.03,0,25.03
50,0,25.38,0,24.38
51,0,26.7,0,25.7
52,0,26.1,0,25.1
53,0,25.66,0,24.66
54,0,26.09,0,25.09
55,0,22.39,0,21.39
56,0,22.97,0,21.97
57,0,22.9,0,21.9
58,0,15.61,0,14.61
59,0,15.99,0,14.99
60,0,16.06,0,15.06
61,0,15.07,0,14.07
62,0,15.5,0,14.5
63,0,14.66,0,13.66
64,0,23.19,0,22.19
65,0,23.58,0,22.58
66,0,23.3,0,22.3
67,0,27.48,0,26.48
68,0,27.53,0,26.53
69,0,27.53,0,26.53
70,0,26.75,0,25.75
71,0,27.83,0,26.83
72,0,27.29,0,26.29
73,0,26.36,0,25.36
74,0,25.15,0,24.15
75,0,26.94,0,25.94
76,0,25.73,0,24.73
77,0,25.46,0,24.46
78,0,25.84,0,24.84
