Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
AnnualSum,739030.813015601,1.079402174819723e6,211525.4020364927,5.154605830209502e6,559044.3765523228,1.008722261956088e6,1.2306267743578276e6,850810.0558564713,2.739554969470066e6,1.5575943885398826e6,336813.3732411975,4.829194271421208e6,1.3024314377116768e6,288449.21814831044,244284.5113265736,2.2132089858662944e7
t1,104.42,0.0,45.10615920000001,897.8922435,87.6946374,232.32461714999997,0.0,153.6,515.546052,329.152,46.72510389612931,505.63261682558004,227.749851,64.0091859,68.85,3278.702466871709
t2,104.42,26.727293746206488,45.10615920000001,897.8922435,87.6946374,232.32461714999997,0.0,153.6,515.546052,329.152,25.681798039561517,772.6986919392576,227.749851,64.0091859,68.85,3551.4525298750254
t3,104.42,131.5065729268398,45.10615920000001,897.8922435,87.6946374,232.32461714999997,0.0,153.6,515.546052,329.152,20.597788703542058,596.0977350714279,227.749851,64.0091859,68.85,3474.5468428518093
t4,104.42,0.7518173342326111,45.10615920000001,897.8922435,87.6946374,232.32461714999997,0.0,153.6,515.546052,329.152,18.193503261374246,887.3574152009521,227.749851,64.0091859,68.85,3632.647481946559
t5,104.42,0.0,45.10615920000001,897.8922435,87.6946374,232.32461714999997,38.549621420777235,153.6,515.546052,329.152,11.729622252496675,658.303562302097,227.749851,64.0091859,68.85,3434.9275521253703
t6,104.42,118.69803450213676,45.10615920000001,897.8922435,87.6946374,232.32461714999997,0.0,153.6,515.546052,329.152,0.0,786.5167288434574,227.749851,64.0091859,68.85,3631.559509495594
t7,104.42,229.7836574597752,45.10615920000001,897.8922435,87.6946374,232.32461714999997,184.3186958010675,153.6,515.546052,329.152,2.61307144469438,740.5135292781588,227.749851,64.0091859,68.85,3883.5737001336956
t8,104.42,59.51812612465591,45.10615920000001,251.47672458286436,87.6946374,0.0,171.28173309333533,153.6,515.546052,329.152,9.244155483930093,759.0907849967194,227.749851,64.0091859,0.0,2777.889409781505
t9,104.42,0.0,0.0,0.0,87.6946374,0.0,0.0,153.6,498.4467009669746,0.0,0.9841343177764872,27.743469174318538,227.749851,64.0091859,0.0,1164.6479787590695
t10,104.42,0.0,0.0,0.0,87.6946374,0.0,28.146078825639744,153.6,276.40739349364225,0.0,0.0,0.0,227.749851,64.0091859,0.0,942.027146619282
t11,104.42,0.0,0.0,0.0,87.6946374,0.0,0.0,153.6,241.43375013028563,0.0,7.473658946868222,0.0,227.749851,64.0091859,0.0,886.3810833771539
t12,104.42,0.0,0.0,0.0,87.6946374,0.0,0.0,153.6,119.74695592367519,0.0,14.301402785106124,0.0,227.749851,64.0091859,0.0,771.5220330087814
t13,104.42,0.0,0.0,67.85848883633552,87.6946374,0.0,0.0,153.6,275.81517290419043,34.613518319713144,11.899079571801742,0.0,92.49474216645766,64.0091859,0.0,892.4048250984986
t14,104.42,0.0,0.0,233.2206974007853,0.0,0.0,14.633050906379092,153.6,361.4279010783727,329.152,12.46148176914585,0.0,94.81923155475123,64.0091859,0.0,1367.7435486094341
t15,104.42,12.901206994129817,0.0,524.3905805593714,0.0,187.1151646628339,0.0,0.0,515.546052,329.152,17.900262398750527,0.0,0.0,1.9296559191686797,0.0,1693.3549225342545
t16,104.42,0.0,45.10615920000001,897.8922435,87.6946374,232.32461714999997,12.504740522381375,0.0,515.546052,329.152,0.0,330.1654510435221,93.50639564434125,0.0,68.85,2717.1622964602448
t17,104.42,152.11230515358676,45.10615920000001,897.8922435,87.6946374,232.32461714999997,86.14563355090154,153.6,515.546052,329.152,0.0,719.7410796115325,227.749851,8.357539144071414,68.85,3628.6921177100917
t18,104.42,100.09827553782898,45.10615920000001,897.8922435,87.6946374,232.32461714999997,49.360997507603656,153.6,515.546052,329.152,0.0,507.4155946546776,227.749851,57.60663126841395,68.85,3376.817059218524
t19,104.42,83.20110126322828,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,522.4608156168363,227.749851,27.965679475316232,68.85,3533.083156605381
t20,104.42,194.35793121599613,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,681.6006144730615,227.749851,45.63448759040903,68.85,3821.0485935294664
t21,104.42,123.60467173919109,45.10615920000001,897.8922435,87.6946374,232.32461714999997,45.99002154039684,153.6,515.546052,329.152,0.0,872.8119610735109,227.749851,64.0091859,68.85,3768.7514005030985
t22,104.42,188.18567118812118,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,930.7273338,227.749851,8.20917495396366,68.85,4026.5777401920845
t23,104.42,157.4807458273026,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,930.7273338,212.0032379726585,9.095283167991287,68.85,3981.0123100179526
t24,104.42,118.19900056775552,45.10615920000001,897.8922435,87.6946374,232.32461714999997,237.12,153.6,515.546052,329.152,0.0,930.7273338,227.749851,0.0,68.85,3948.3818946177553
t25,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,0.0,153.6,515.546052,329.152,29.307150358891505,894.5829859700726,227.749851,64.0091859,0.0,3349.060265328964
t26,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,151.52046525350366,153.6,515.546052,329.152,31.443949209435146,930.7273338,227.749851,64.0091859,0.0,3538.861877262939
t27,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,112.75589747659699,153.6,515.546052,329.152,17.00335003761493,930.7273338,227.749851,64.0091859,0.0,3485.6567103142115
t28,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,174.42020055780083,153.6,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,0.0,3530.3176633578005
t29,104.42,0.0,45.10615920000001,897.8922435,87.6946374,0.0,139.0932644688967,153.6,515.546052,329.152,0.0,930.7273338,227.749851,64.0091859,0.0,3494.9907272688965
t30,104.42,9.28357119788457,45.10615920000001,897.8922435,87.6946374,0.0,237.12,153.6,515.546052,329.152,28.058897255544423,930.7273338,227.749851,64.0091859,0.0,3630.359931253429
t31,104.42,209.90181468342521,45.10615920000001,812.8434699057342,87.6946374,0.0,237.12,153.6,515.546052,272.72186234110853,19.66669174652985,930.7273338,227.749851,64.0091859,0.0,3681.107057976798
t32,104.42,214.8752112370035,45.10615920000001,766.2316114170757,87.6946374,0.0,237.12,153.6,515.546052,0.0,12.935837212899152,930.7273338,227.749851,64.0091859,0.0,3360.0158791669783
t33,104.42,86.87563580769283,45.10615920000001,580.2171363088348,87.6946374,0.0,237.12,153.6,515.546052,51.86092990115529,13.360673721775013,930.7273338,227.749851,64.0091859,0.0,3098.2875950394578
t34,104.42,8.3203479742843,45.10615920000001,385.48815351714455,87.6946374,0.0,237.12,153.6,515.546052,244.77575436005984,40.99217492486851,930.7273338,227.749851,64.0091859,0.0,3045.5496500763575
