Resource,Derating_Factor_1
Arizona_Solar,0.95
BANC_Solar,0.0
BANC_Solar_New_Planned,0.0
BANC_Wind,0.0
BANC_Wind_New_Planned,0.0
Baja_California_Wind,0.95
CAISO_Solar,0.95
CAISO_Wind,0.95
Central_Valley_North_Los_Banos_Wind,0.95
Customer_PV,0.95
Distributed_Solar,0.95
Greater_Imperial_Solar,0.95
Greater_Imperial_Wind,0.95
Greater_Kramer_Solar,0.95
Greater_LA_Solar,0.95
Humboldt_Bay_Offshore_Wind,0.95
IID_Solar,0.0
IID_Solar_New_Planned,0.0
Idaho_Wind,0.95
LDWP_Solar,0.0
LDWP_Solar_New_Planned,0.0
LDWP_Wind,0.0
LDWP_Wind_New_Planned,0.0
Morro_Bay_Offshore_Wind,0.95
NW_Solar,0.0
NW_Solar_New_Planned,0.0
NW_Wind,0.0
NW_Wind_New_Planned,0.0
New_Mexico_Wind,0.95
Northern_California_Solar,0.95
Northern_California_Wind,0.95
Riverside_Solar,0.95
SW_Solar,0.0
SW_Solar_New_Planned,0.0
SW_Wind,0.0
SW_Wind_New_Planned,0.0
Solano_Wind,0.95
Southern_NV_Eldorado_Solar,0.95
Southern_NV_Eldorado_Wind,0.95
Southern_PGAE_Solar,0.95
Tehachapi_Solar,0.95
Tehachapi_Wind,0.95
Wyoming_Wind,0.95
BANC_Biogas,0.0
BANC_Biomass,0.0
BANC_CCGT1,0.0
BANC_CCGT2,0.0
BANC_Geothermal,0.0
BANC_Geothermal_New_Planned,0.0
BANC_Peaker1,0.0
BANC_Peaker2,0.0
BANC_Reciprocating_Engine,0.0
CAISO_Advanced_CCGT,0.95
CAISO_Aero_CT,0.95
CAISO_Biogas,0.95
CAISO_Biomass,0.95
CAISO_CCGT1,0.95
CAISO_CCGT2,0.95
CAISO_CCGT_Remote,0.0
CAISO_CHP,0.95
CAISO_Geothermal,0.95
CAISO_New_Reciprocating_Engine,0.95
CAISO_Nuclear,0.95
CAISO_Peaker1,0.95
CAISO_Peaker2,0.95
CAISO_Reciprocating_Engine,0.95
Central_Nevada_Geothermal,0.95
Greater_Imperial_Geothermal,0.95
IID_Biogas,0.0
IID_Biomass,0.0
IID_CCGT1,0.0
IID_Geothermal,0.0
IID_Geothermal_New_Planned,0.0
IID_Peaker1,0.0
IID_Peaker2,0.0
IID_ST,0.0
InState_Biomass,0.95
Inyokern_North_Kramer_Geothermal,0.95
LDWP_Biogas,0.0
LDWP_CCGT1,0.0
LDWP_CCGT2,0.0
LDWP_CHP,0.0
LDWP_Geothermal,0.0
LDWP_Geothermal_New_Planned,0.0
LDWP_Nuclear,0.0
LDWP_Peaker1,0.0
LDWP_Peaker1_New_Planned,0.0
LDWP_ST,0.0
NW_Biogas,0.0
NW_Biomass,0.0
NW_CCGT1,0.0
NW_CCGT2,0.0
NW_Geothermal,0.0
NW_Nuclear,0.0
NW_Peaker1,0.0
NW_Peaker1_New_Planned,0.0
NW_Peaker2,0.0
NW_Reciprocating_Engine,0.0
Northern_California_Geothermal,0.95
Northern_Nevada_Geothermal,0.95
Pacific_Northwest_Geothermal,0.95
SW_Biogas,0.0
SW_Biomass,0.0
SW_CCGT1,0.0
SW_CCGT2,0.0
SW_Coal,0.0
SW_Geothermal,0.0
SW_Nuclear,0.0
SW_Peaker1,0.0
SW_Peaker1_New_Planned,0.0
SW_Peaker2,0.0
SW_Reciprocating_Engine,0.0
SW_ST,0.0
BANC_Li_Battery_New_Planned,0.0
CAISO_Adiabatic_CAES_24hr,0.95
CAISO_Flow_Battery_8hr_Dispatch,0.95
CAISO_Li_Battery_4hr_Baseline,0.95
CAISO_Li_Battery_4hr_Dispatch,0.95
CAISO_Li_Battery_8hr_Baseline,0.95
CAISO_Li_Battery_8hr_Dispatch,0.95
CAISO_New_Pumped_Storage_12hr,0.95
CAISO_Pumped_Hydro,0.95
IID_Li_Battery,0.0
LDWP_Li_Battery,0.0
LDWP_Li_Battery_New_Planned,0.0
LDWP_Pumped_Hydro,0.0
NW_Li_Battery,0.0
NW_Li_Battery_New_Planned,0.0
NW_Pumped_Hydro,0.0
SW_Li_Battery,0.0
SW_Li_Battery_New_Planned,0.0
SW_Pumped_Hydro,0.0
BANC_Hydro,0.0
CAISO_Hydro,0.95
LDWP_Hydro,0.0
NW_Hydro,0.0
NW_Hydro_for_CAISO,0.0
SW_Hydro,0.0
CAISO_Shed_DR_Existing,0.95
