ELCC_Surface,Facet,Axis_0,Axis_1,Axis_2
In-State_Wind,1,0.0,0.136,0.0
In-State_Wind,2,220.1667053639,0.108,0.0
In-State_Wind,3,142.4608093531,0.114,0.0
Offshore_Wind,1,0.0,0.5,0.0
Offshore_Wind,2,284.9216187062,0.4266666667,0.0
Out-of-State_Wind,1,246.0686707008,0.1933333333,0.0
Out-of-State_Wind,2,0.0,0.2333333333,0.0
Out-of-State_Wind,3,64.7549133423,0.2166666667,0.0
Solar_Storage,1,25311.2424624476,0.0094897919,0.3571428571
Solar_Storage,10,0.0,0.2583225108,0.92
Solar_Storage,11,0.0,0.2706773308,0.8705807203
Solar_Storage,12,9365.7807273666,0.2478321204,0.3251756155
Solar_Storage,13,7756.3948670458,0.015,0.9482254706
Solar_Storage,14,16492.9501281205,0.0419134846,0.5192613208
Solar_Storage,15,16479.862896999,0.0421300247,0.5190808707
Solar_Storage,16,15959.5701138024,0.0593474535,0.4903851561
Solar_Storage,17,6963.2001523591,0.0324372141,0.8968044564
Solar_Storage,18,6817.9114738667,0.0436555658,0.8687585771
Solar_Storage,19,3570.0662698069,0.132847393,0.8705807203
Solar_Storage,2,16827.6434805592,0.3969751652,0.0753333333
Solar_Storage,20,5723.4074747526,0.132847393,0.7043121629
Solar_Storage,21,4353.3862502885,0.0925250998,0.9109030135
Solar_Storage,22,24377.8171241484,0.1406666667,0.1092038492
Solar_Storage,23,24196.752618916,0.0365354799,0.3202623735
Solar_Storage,24,24196.752618916,0.1364724404,0.1203884525
Solar_Storage,25,6779.0700055672,0.030092675,0.9167098642
Solar_Storage,26,6756.467874781,0.0306744103,0.9159826951
Solar_Storage,27,6890.1440191076,0.0306744103,0.9073812793
Solar_Storage,28,6846.1492464053,0.0290567808,0.9162782416
Solar_Storage,29,10011.9871408337,0.0421300247,0.7460863112
Solar_Storage,3,10119.0344582942,0.3969751652,0.2233333333
Solar_Storage,30,7646.2896596976,0.0436555658,0.8332238138
Solar_Storage,31,9999.3673108237,0.0419134846,0.7471690116
Solar_Storage,32,9900.4958301487,0.0593474535,0.7030427393
Solar_Storage,33,6725.4079312553,0.0472268602,0.8628064198
Solar_Storage,34,6113.3564004636,0.0472268602,0.9021889868
Solar_Storage,35,5522.7169999713,0.06242878,0.8958548536
Solar_Storage,36,9715.8695623686,0.1169729897,0.5733779591
Solar_Storage,37,6459.1871708985,0.1356169461,0.6618211385
Solar_Storage,38,5908.8866506923,0.1271187412,0.7043121629
Solar_Storage,39,7425.0173950022,0.1169729897,0.6618211385
Solar_Storage,4,0.0,0.3122176909,0.7875
Solar_Storage,40,22376.1708028333,0.179,0.0876482936
Solar_Storage,41,22842.406178898,0.173,0.0876482936
Solar_Storage,42,7985.3641775094,0.037788102,0.8366069679
Solar_Storage,43,8581.2504911185,0.0391413636,0.8095417351
Solar_Storage,44,7967.8381094621,0.0391413636,0.8332238138
Solar_Storage,45,6623.3099956461,0.0629936847,0.8233893585
Solar_Storage,46,7243.8682904431,0.0889984168,0.7317575708
Solar_Storage,47,21924.3738915205,0.0616011866,0.3202623735
Solar_Storage,48,20542.2600005088,0.0853164851,0.3033228746
Solar_Storage,49,15959.5701138024,0.0616011866,0.4847508234
Solar_Storage,5,3709.5118424762,0.2883487695,0.5488107864
Solar_Storage,50,15472.1764610902,0.0821286701,0.4505383508
Solar_Storage,51,15492.8191295538,0.0853164851,0.4425688133
Solar_Storage,52,20383.9747633941,0.1364724404,0.204502927
Solar_Storage,53,20150.6238545719,0.1004364245,0.2817229611
Solar_Storage,54,18053.1017900289,0.1878943073,0.1677730221
Solar_Storage,55,12716.234613638,0.2090267189,0.2734350801
Solar_Storage,56,12882.3447119038,0.1577224735,0.3696305402
Solar_Storage,57,15231.7283655959,0.1004364245,0.4173689143
Solar_Storage,58,6046.6631986319,0.1100974477,0.7362270882
Solar_Storage,59,6319.9163830315,0.0889984168,0.7713921398
Solar_Storage,6,6740.9864789362,0.3117560639,0.35375
Solar_Storage,60,6216.5705362729,0.0838589233,0.788704137
Solar_Storage,61,6219.0230635773,0.0838048176,0.788704137
Solar_Storage,62,7360.988876823,0.086988778,0.7317575708
Solar_Storage,63,9836.4229244726,0.0602469697,0.7030427393
Solar_Storage,64,7538.8521675035,0.0602469697,0.7917453041
Solar_Storage,65,7360.988876823,0.0629936847,0.7917453041
Solar_Storage,66,9836.4229244726,0.0821286701,0.6483384884
Solar_Storage,67,9521.7070593229,0.086988778,0.6483384884
Solar_Storage,7,7084.3483482198,0.3091048221,0.3404937909
Solar_Storage,8,21416.2539738205,0.1878943073,0.0935778318
Solar_Storage,9,4176.6638781501,0.0970735931,0.92
