Resource,Zone,Model,New_Build,Can_Retire,LDS,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MGA,Resource_Type,region,cluster,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In
Generic_6hr_battery,1,1,1,0,0,0,0.922,0.922,6,6,1,1,0,0,0,Li_Battery,CCA,1,0,0,-1,-1,5,-1,15312,20492,8159,0,2.5,0
Northern_California_Li_Battery,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,0,0,-1,-1,5,-1,14583,20492,8160,0,2.5,0
Riverside_West_Pumped_Storage,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Pumped_Hydro,CCA,1,0,0,-1,-1,0,-1,100971,8670,14032,0,2.5,0
Tumbleweed,1,1,0,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,50,200,50,200,0,-1,0,0,133800,0,2.5,0
Tehachapi_Pumped_Storage,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Pumped_Hydro,CCA,1,0,0,-1,-1,0,-1,100971,8670,14032,0,2.5,0
Sanborn,1,1,0,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,47,188,47,188,0,-1,0,0,162000,0,2.5,0
Arizona_Li_Battery,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,0,0,-1,-1,0,-1,14583,20492,8160,0,2.5,0
Generic_8hr_battery,1,1,1,0,0,0,0.922,0.922,8,8,1,1,0,0,0,Li_Battery,CCA,1,0,0,-1,-1,5,-1,16771,20492,8159,0,2.5,0
Riverside_Li_Battery,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,0,0,-1,-1,0,-1,14583,20492,8160,0,2.5,0
CAISO_New_Flow_Battery,1,1,1,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Flow_Battery,CCA,1,0,0,-1,-1,0,-1,108339,16391,8913,1550,2.5,0
HenriettaStorage,1,1,0,0,0,0,0.922,0.922,4,4,1,1,0,0,0,Li_Battery,CCA,1,10,40,10,40,0,-1,0,0,178400,0,2.5,0
